TA with Auckland Local Board,Year at 30 June,Euro-all-ages,Euro-5-9,Euro-10-14,Euro-15-19,Maori-all-ages,Maori-5-9,Maori-10-14,Maori-15-19,Asian-all-ages,Asian-5-9,Asian-10-14,Asian-15-19,Pacific-all-ages,Pacific-5-9,Pacific-10-14,Pacific-15-19,Total-all-ages,Total-5-9,Total-10-14,Total-15-19
Far North district,2013,40800,2750,2770,2420,27100,2980,2950,2510,1630,130,115,100,2540,360,390,280,60600,4560,4710,4140
Far North district,2018,42600,3080,2850,2020,28700,3200,3070,2720,2310,200,160,120,3110,480,390,400,62900,4820,4730,3960
Far North district,2023,43800,3150,3150,2060,30300,3050,3320,2860,2920,270,220,150,3760,510,500,400,64100,4470,4970,3940
Far North district,2028,44900,3310,3230,2350,31800,3090,3160,3120,3440,310,280,210,4470,600,530,510,64900,4490,4620,4180
Far North district,2033,45700,3390,3380,2430,33300,3120,3210,2950,3940,320,320,270,5280,710,620,530,65200,4350,4630,3830
Far North district,2038,46100,3290,3470,2580,34900,3200,3240,3000,4430,320,330,310,6210,840,730,620,64900,4110,4500,3850
Whangarei district,2013,67500,4720,4470,4270,23100,2680,2430,2250,3230,230,240,240,2640,360,350,300,83700,6200,5940,5590
Whangarei district,2018,71800,5400,4870,4150,26000,3210,2790,2420,4850,380,300,300,3450,530,400,360,90600,6930,6500,5610
Whangarei district,2023,74600,5320,5490,4450,29000,3100,3340,2800,6140,540,420,330,4160,610,550,390,95500,6540,7160,6080
Whangarei district,2028,76600,5490,5380,5030,32100,3270,3240,3380,7110,570,550,430,4950,670,630,550,99200,6710,6750,6710
Whangarei district,2033,78200,5570,5540,4910,35400,3470,3420,3270,8050,570,590,560,5820,760,690,630,102400,6730,6910,6290
Whangarei district,2038,79300,5480,5620,5080,39100,3760,3620,3460,8970,560,580,600,6800,860,780,690,105000,6630,6940,6460
Kaipara district,2013,17350,1140,1150,1060,5010,530,570,490,470,40,40,25,660,85,90,80,20500,1390,1450,1320
Kaipara district,2018,18750,1210,1190,870,5520,630,550,560,1050,90,80,60,860,140,100,95,22600,1490,1490,1260
Kaipara district,2023,19350,1240,1210,860,5950,630,650,530,1440,115,115,90,1030,140,145,100,23600,1430,1560,1250
Kaipara district,2028,19850,1300,1240,880,6410,670,650,640,1730,120,130,120,1230,160,145,145,24400,1500,1500,1320
Kaipara district,2033,20100,1320,1310,910,6900,700,690,640,2020,120,130,140,1450,190,165,145,24900,1470,1560,1260
Kaipara district,2038,20100,1240,1330,970,7420,740,730,680,2310,130,130,140,1710,225,195,165,25200,1370,1530,1320
Auckland,2013,886400,58960,55640,57470,169800,18670,16790,17010,348900,21080,20540,26840,227000,25360,24480,23470,1493200,102070,99570,108750
Auckland,2018,946700,63460,60280,56710,188100,20250,18470,17880,472700,28220,24520,26340,252400,27470,24810,24930,1699900,110790,103670,109130
Auckland,2023,986800,56490,64080,60050,204900,18910,19910,19410,567500,34390,30010,27850,279500,25760,26890,25280,1859300,107790,111500,111900
Auckland,2028,1014700,59400,56490,63250,221600,20380,18450,20850,645200,40210,35310,32410,307800,28860,25140,27350,1990100,122760,107430,118780
Auckland,2033,1038800,61090,59440,55680,239200,21620,19960,19340,719000,41500,41060,37690,337300,31550,28230,25590,2112000,128200,122400,114730
Auckland,2038,1057600,60310,61150,58630,257600,22830,21250,20920,788800,40170,42330,43410,367000,33450,30920,28700,2222700,125170,127840,129700
Rodney local board area,2013,52500,3850,3890,3440,6080,720,680,550,2300,190,150,160,1740,230,195,155,57300,4180,4260,3810
Rodney local board area,2018,59100,3930,4270,3980,6890,840,780,670,4450,290,290,210,2200,250,240,160,66800,4130,4470,4060
Rodney local board area,2023,65800,4290,4340,4330,7780,830,910,780,6280,470,370,320,2680,330,270,210,76100,4190,4400,4250
Rodney local board area,2028,72400,4980,4690,4380,8750,920,910,910,7400,530,500,360,3160,370,350,230,84600,5070,4410,4170
Rodney local board area,2033,79100,5600,5390,4730,9830,1030,1000,910,8440,510,560,490,3640,390,380,320,92900,5670,5300,4180
Rodney local board area,2038,85600,5980,6010,5420,11050,1150,1110,1010,9420,490,540,540,4140,400,400,350,100700,5870,5890,5060
Hibiscus and Bays local board area,2013,83300,5350,5650,6040,6030,660,620,620,8480,540,560,720,2000,250,205,195,94000,5910,6290,6930
Hibiscus and Bays local board area,2018,93300,5730,6140,6070,7150,810,750,700,12250,800,750,700,2490,280,270,210,109000,6460,6720,6860
Hibiscus and Bays local board area,2023,100300,5310,6330,6310,8160,750,880,810,15250,1310,940,820,3000,320,300,270,119900,6510,7190,7170
Hibiscus and Bays local board area,2028,106300,6050,5820,6410,9200,820,810,950,17650,1540,1420,970,3520,350,340,310,128900,7530,7130,7580
Hibiscus and Bays local board area,2033,112300,6780,6580,5910,10350,910,890,880,19950,1540,1650,1450,4040,370,370,340,137300,7980,8160,7510
Hibiscus and Bays local board area,2038,117800,7090,7310,6660,11550,1010,980,950,22100,1460,1650,1670,4590,400,390,370,144800,7860,8620,8550
Upper Harbour local board area,2013,37500,2550,2790,2790,3280,310,320,350,16800,980,1020,1340,1430,150,130,125,56800,3580,3900,4320
Upper Harbour local board area,2018,41700,2490,2730,2880,3780,350,350,370,23800,1480,1260,1240,1760,185,175,115,69100,4110,4070,4530
Upper Harbour local board area,2023,45200,1980,2650,2780,4250,300,390,390,30500,2320,1710,1440,2100,220,210,160,80500,4520,4570,4660
Upper Harbour local board area,2028,48900,2360,2140,2710,4700,340,330,430,36500,2860,2500,1850,2450,240,240,190,91200,5410,4950,5150
Upper Harbour local board area,2033,52400,2680,2520,2200,5170,370,370,370,42400,3080,3040,2630,2800,260,270,230,101600,5960,5850,5530
Upper Harbour local board area,2038,55600,2780,2850,2580,5660,410,400,410,48200,3110,3250,3170,3160,270,280,250,111700,6120,6400,6440
Kaipatiki local board area,2013,56800,3650,3000,3300,7950,850,710,800,23100,1300,1270,1640,5460,590,590,570,87000,5340,4800,5570
Kaipatiki local board area,2018,58000,4530,3530,3020,8450,880,870,780,30300,1900,1500,1630,6150,630,610,690,94900,6330,5120,5240
Kaipatiki local board area,2023,57900,3860,4410,3520,8910,820,900,940,36200,2510,2010,1750,6820,560,650,700,100300,6200,6070,5510
Kaipatiki local board area,2028,56900,3630,3720,4390,9210,810,820,960,41000,2880,2560,2210,7470,630,570,730,103900,6630,5880,6440
Kaipatiki local board area,2033,55400,3290,3490,3700,9520,790,810,880,45700,2950,2930,2760,8180,710,640,650,106700,6480,6310,6250
Kaipatiki local board area,2038,53600,2940,3140,3470,9840,810,790,870,50100,2870,3000,3130,8920,790,720,720,109000,5990,6170,6690
Devonport-Takapuna local board area,2013,44500,2770,2720,2880,3450,300,310,330,11900,720,900,1180,1510,135,145,165,58500,3500,3730,4230
Devonport-Takapuna local board area,2018,45200,2850,2880,2640,3720,280,280,390,15750,900,990,1200,1830,180,140,195,63100,3790,3810,4220
Devonport-Takapuna local board area,2023,45600,2350,2950,2770,3890,270,260,360,18700,1120,1110,1240,2170,160,180,190,66500,3640,4080,4270
Devonport-Takapuna local board area,2028,46000,2500,2460,2850,4030,270,250,340,21100,1270,1290,1320,2530,190,160,230,69500,3970,3920,4540
Devonport-Takapuna local board area,2033,46200,2580,2610,2360,4140,270,250,320,23400,1330,1440,1500,2890,210,190,210,72300,4070,4260,4380
Devonport-Takapuna local board area,2038,46200,2500,2680,2510,4230,260,240,320,25700,1320,1500,1650,3260,230,220,240,74700,4000,4370,4720
Henderson-Massey local board area,2013,63900,4540,3870,4050,18650,2180,1860,1920,25000,1750,1580,1820,22600,2600,2460,2390,113500,8380,7770,8380
Henderson-Massey local board area,2018,66100,5440,4290,3730,20500,2660,2170,1990,32500,2480,1890,1750,25300,2970,2620,2550,125000,9810,8080,8230
Henderson-Massey local board area,2023,68000,4810,5260,4180,22300,2510,2640,2280,39700,3080,2580,2040,28400,2830,2990,2730,136100,9750,9500,8520
Henderson-Massey local board area,2028,69500,4800,4630,5170,23900,2610,2470,2760,46900,3540,3180,2750,31700,3200,2860,3110,147400,10660,9440,9940
